Index,C,Score,gamma
485,59.5959595959596,0.8613333333333333,0.86
486,59.5959595959596,0.8613333333333333,0.87
487,59.5959595959596,0.8613333333333333,0.88
488,59.5959595959596,0.8613333333333333,0.89
489,59.5959595959596,0.8613333333333333,0.9
490,59.5959595959596,0.8613333333333333,0.91
491,59.5959595959596,0.8613333333333333,0.92
492,59.5959595959596,0.8613333333333333,0.93
493,59.5959595959596,0.8613333333333333,0.9400000000000001
494,59.5959595959596,0.8613333333333333,0.9500000000000001
495,59.5959595959596,0.8613333333333333,0.9600000000000001
496,59.5959595959596,0.8613333333333333,0.97
497,59.5959595959596,0.8613333333333333,0.98
498,59.5959595959596,0.853,0.99
499,59.5959595959596,0.853,1.0
500,69.4949494949495,0.8133333333333332,0.01
501,69.4949494949495,0.8536666666666667,0.02
502,69.4949494949495,0.8210000000000001,0.03
503,69.4949494949495,0.8370000000000001,0.04
504,69.4949494949495,0.8203333333333334,0.05
505,69.4949494949495,0.8039999999999999,0.060000000000000005
506,69.4949494949495,0.8203333333333334,0.06999999999999999
507,69.4949494949495,0.8533333333333333,0.08
508,69.4949494949495,0.8859999999999999,0.09
509,69.4949494949495,0.8703333333333333,0.09999999999999999
510,69.4949494949495,0.8779999999999999,0.11
511,69.4949494949495,0.8699999999999999,0.12
512,69.4949494949495,0.8783333333333333,0.13
513,69.4949494949495,0.8700000000000001,0.14
514,69.4949494949495,0.8620000000000001,0.15000000000000002
515,69.4949494949495,0.8620000000000001,0.16
516,69.4949494949495,0.8540000000000001,0.17
517,69.4949494949495,0.8540000000000001,0.18000000000000002
518,69.4949494949495,0.8460000000000001,0.19
519,69.4949494949495,0.8376666666666667,0.2
520,69.4949494949495,0.8376666666666667,0.21000000000000002
521,69.4949494949495,0.8376666666666667,0.22
522,69.4949494949495,0.8293333333333333,0.23
523,69.4949494949495,0.8376666666666667,0.24000000000000002
524,69.4949494949495,0.8456666666666667,0.25
525,69.4949494949495,0.8456666666666667,0.26
526,69.4949494949495,0.8456666666666667,0.27
527,69.4949494949495,0.8456666666666667,0.28
528,69.4949494949495,0.8456666666666667,0.29000000000000004
529,69.4949494949495,0.8536666666666667,0.3
530,69.4949494949495,0.8536666666666667,0.31
531,69.4949494949495,0.8536666666666667,0.32
532,69.4949494949495,0.8536666666666667,0.33
533,69.4949494949495,0.8536666666666667,0.34
534,69.4949494949495,0.8536666666666667,0.35000000000000003
535,69.4949494949495,0.8453333333333333,0.36000000000000004
536,69.4949494949495,0.8453333333333333,0.37
537,69.4949494949495,0.8373333333333333,0.38
538,69.4949494949495,0.8456666666666667,0.39
539,69.4949494949495,0.8456666666666667,0.4
540,69.4949494949495,0.8453333333333333,0.41000000000000003
541,69.4949494949495,0.8453333333333333,0.42000000000000004
542,69.4949494949495,0.8453333333333333,0.43
543,69.4949494949495,0.8453333333333333,0.44
544,69.4949494949495,0.8370000000000001,0.45
545,69.4949494949495,0.8370000000000001,0.46
546,69.4949494949495,0.8370000000000001,0.47000000000000003
547,69.4949494949495,0.8370000000000001,0.48000000000000004
548,69.4949494949495,0.8370000000000001,0.49
